enrollment_id,enrollment_date,enrollment_status,user_id,course_id
1,2025-09-16,INACTIVE,1,39
2,2024-10-09,ACTIVE,1,19
3,2025-01-12,COMPLETED,2,118
4,2024-12-19,ACTIVE,2,82
5,2025-09-30,INACTIVE,3,23
6,2024-11-09,COMPLETED,3,2
7,2025-02-07,COMPLETED,3,15
8,2025-09-11,INACTIVE,3,12
9,2026-01-17,COMPLETED,3,93
10,2025-12-26,INACTIVE,4,9
11,2025-02-15,INACTIVE,4,94
12,2026-01-13,ACTIVE,4,89
13,2025-05-19,INACTIVE,4,20
14,2024-11-29,INACTIVE,4,28
15,2025-02-26,ACTIVE,5,23
16,2024-09-24,INACTIVE,5,2
17,2025-01-30,INACTIVE,5,74
18,2025-01-25,INACTIVE,5,115
19,2025-10-17,INACTIVE,5,6
20,2024-09-22,ACTIVE,6,86
21,2025-09-30,COMPLETED,6,35
22,2025-04-15,INACTIVE,7,104
23,2025-04-17,COMPLETED,7,1
24,2025-05-23,ACTIVE,7,84
25,2025-01-27,COMPLETED,7,6
26,2026-01-04,INACTIVE,7,112
27,2024-12-04,INACTIVE,8,12
28,2025-04-25,ACTIVE,8,77
29,2025-07-21,COMPLETED,8,48
30,2024-10-24,INACTIVE,8,59
31,2025-08-04,INACTIVE,9,42
32,2025-10-31,COMPLETED,9,95
33,2025-07-07,INACTIVE,9,82
34,2025-02-18,INACTIVE,10,45
35,2025-02-17,COMPLETED,10,99
36,2025-07-04,INACTIVE,10,38
37,2024-09-23,INACTIVE,10,19
38,2025-12-15,COMPLETED,10,105
39,2025-07-29,COMPLETED,11,114
40,2025-06-04,INACTIVE,11,18
41,2025-01-08,COMPLETED,11,43
42,2024-11-13,COMPLETED,11,119
43,2025-05-14,COMPLETED,12,114
44,2025-11-15,COMPLETED,12,6
45,2025-08-07,COMPLETED,12,44
46,2025-11-18,ACTIVE,13,109
47,2024-12-02,COMPLETED,13,103
48,2025-07-10,ACTIVE,13,74
49,2025-05-07,ACTIVE,14,113
50,2025-04-09,ACTIVE,14,15
51,2025-09-20,COMPLETED,14,65
52,2025-02-22,ACTIVE,14,70
53,2025-01-15,ACTIVE,14,6
54,2024-11-26,INACTIVE,15,63
55,2025-04-23,INACTIVE,15,15
56,2025-05-06,COMPLETED,15,42
57,2024-12-05,INACTIVE,15,94
58,2025-07-04,COMPLETED,16,74
59,2025-01-09,ACTIVE,16,45
60,2025-10-05,COMPLETED,16,96
61,2025-10-24,COMPLETED,17,20
62,2026-01-28,COMPLETED,17,107
63,2024-12-15,ACTIVE,17,89
64,2025-05-20,ACTIVE,17,115
65,2024-10-17,ACTIVE,17,97
66,2024-12-02,ACTIVE,18,31
67,2025-04-26,COMPLETED,18,97
68,2025-12-10,ACTIVE,18,52
69,2026-01-16,ACTIVE,18,39
70,2025-10-14,ACTIVE,19,38
71,2024-12-01,COMPLETED,19,16
72,2025-06-11,ACTIVE,20,9
73,2025-06-26,INACTIVE,20,33
74,2025-07-14,INACTIVE,21,2
75,2025-10-14,INACTIVE,21,90
76,2025-06-23,COMPLETED,21,77
77,2025-04-02,INACTIVE,21,39
78,2025-03-09,COMPLETED,21,44
79,2026-01-12,INACTIVE,22,87
80,2025-08-18,INACTIVE,22,63
81,2025-05-31,INACTIVE,23,33
82,2025-01-08,COMPLETED,23,90
83,2025-04-03,COMPLETED,24,55
84,2024-11-04,INACTIVE,24,89
85,2024-10-22,ACTIVE,25,4
86,2025-05-30,INACTIVE,25,49
87,2025-04-25,ACTIVE,25,5
88,2025-12-17,ACTIVE,25,63
89,2025-01-23,COMPLETED,25,98
90,2025-01-10,INACTIVE,26,59
91,2025-09-27,COMPLETED,26,49
92,2025-02-02,INACTIVE,27,5
93,2025-10-10,COMPLETED,27,42
94,2025-07-02,ACTIVE,27,40
95,2026-01-23,COMPLETED,27,71
96,2025-11-24,COMPLETED,27,100
97,2025-06-15,ACTIVE,28,120
98,2025-05-16,ACTIVE,28,65
99,2024-10-12,COMPLETED,29,36
100,2025-02-28,COMPLETED,29,90
101,2026-01-04,INACTIVE,29,73
102,2025-04-04,ACTIVE,29,50
103,2025-02-05,COMPLETED,29,103
104,2025-11-06,ACTIVE,30,23
105,2025-09-02,COMPLETED,30,116
106,2025-08-12,INACTIVE,30,58
107,2025-12-03,COMPLETED,30,38
108,2025-11-10,ACTIVE,30,110
109,2026-01-26,INACTIVE,31,62
110,2024-12-27,COMPLETED,31,63
111,2024-12-11,COMPLETED,31,32
112,2025-08-27,ACTIVE,32,99
113,2025-10-06,INACTIVE,32,49
114,2024-11-11,COMPLETED,32,6
115,2024-09-30,ACTIVE,33,30
116,2025-12-08,ACTIVE,33,92
117,2025-11-18,ACTIVE,33,57
118,2025-01-14,COMPLETED,33,104
119,2025-04-15,ACTIVE,33,90
120,2026-01-18,COMPLETED,34,64
121,2025-05-05,COMPLETED,34,47
122,2025-07-24,COMPLETED,34,102
123,2025-04-25,ACTIVE,34,90
124,2025-06-28,INACTIVE,34,56
125,2025-04-18,COMPLETED,35,36
126,2025-06-26,ACTIVE,35,56
127,2024-11-05,COMPLETED,36,12
128,2025-07-29,INACTIVE,36,34
129,2024-11-06,ACTIVE,37,65
130,2025-11-28,ACTIVE,37,118
131,2025-11-07,ACTIVE,37,32
132,2025-04-11,ACTIVE,37,117
133,2025-02-22,ACTIVE,37,119
134,2025-05-29,ACTIVE,38,85
135,2024-09-18,COMPLETED,38,70
136,2025-10-26,COMPLETED,38,48
137,2025-07-01,ACTIVE,38,72
138,2025-04-17,ACTIVE,38,34
139,2025-11-21,COMPLETED,39,26
