lesson_id,user_id,activity_status,activity_date
836,323,NOT STARTED,2025-12-19 12:08:27.489859
94,2677,STARTED,2026-01-02 12:08:27.490411
585,1798,STARTED,2026-01-13 12:08:27.490917
838,1938,NOT STARTED,2025-12-30 12:08:27.491359
623,4941,STARTED,2025-11-17 12:08:27.491813
143,6016,NOT STARTED,2025-10-31 12:08:27.492297
69,1553,NOT STARTED,2025-11-06 12:08:27.492809
52,1677,STARTED,2026-01-09 12:08:27.493329
174,4447,COMPLETED,2025-11-16 12:08:27.493811
343,5746,NOT STARTED,2025-11-19 12:08:27.494235
678,6117,NOT STARTED,2025-12-22 12:08:27.494656
230,1032,STARTED,2025-12-10 12:08:27.495119
348,125,COMPLETED,2025-11-16 12:08:27.495556
293,5756,COMPLETED,2025-12-22 12:08:27.495988
420,5734,COMPLETED,2025-12-22 12:08:27.496452
814,7195,STARTED,2025-12-13 12:08:27.496931
432,4860,COMPLETED,2026-01-28 12:08:27.497402
220,7390,NOT STARTED,2025-12-08 12:08:27.497829
872,2876,STARTED,2025-12-19 12:08:27.498297
252,1021,COMPLETED,2025-12-16 12:08:27.498732
490,2515,NOT STARTED,2025-12-21 12:08:27.499172
480,4846,STARTED,2025-12-12 12:08:27.499608
430,2411,COMPLETED,2025-12-28 12:08:27.500026
159,3889,NOT STARTED,2026-01-03 12:08:27.500504
158,6665,COMPLETED,2025-11-11 12:08:27.500963
613,7862,STARTED,2026-01-21 12:08:27.501430
285,7030,NOT STARTED,2026-01-06 12:08:27.501843
62,5307,STARTED,2026-01-13 12:08:27.502279
814,742,NOT STARTED,2026-01-13 12:08:27.502721
802,3727,COMPLETED,2026-01-27 12:08:27.503142
278,6244,NOT STARTED,2025-11-29 12:08:27.503656
588,3449,STARTED,2026-01-25 12:08:27.504101
960,4575,STARTED,2026-01-03 12:08:27.504523
194,6323,STARTED,2026-01-12 12:08:27.504936
257,880,COMPLETED,2025-12-02 12:08:27.505398
315,4818,NOT STARTED,2025-11-11 12:08:27.506037
855,7690,STARTED,2025-11-19 12:08:27.506678
167,3968,STARTED,2025-11-12 12:08:27.507321
558,816,STARTED,2025-11-02 12:08:27.507765
115,5381,STARTED,2025-12-23 12:08:27.508233
149,445,COMPLETED,2025-11-27 12:08:27.508650
259,1851,STARTED,2025-12-19 12:08:27.509118
